id,name,type,typecode,lng,lat,pname,cityname,adname,address,biz_status,city,group,pair_id,search_type,search_typecode
B0KDXXZINZ,612星球(名都店),餐饮服务;冷饮店;冷饮店,050700,116.610999,23.685882,广东省,潮州市,湘桥区,恒大名都15栋1号,,潮州,control,5,餐饮服务,050000
B0IDR6FFR2,裕兴饼家(联发楼店),餐饮服务;糕饼店;糕饼店,050800,116.629219,23.652177,广东省,潮州市,湘桥区,城新西路联发楼首层3-5号,,潮州,control,5,餐饮服务,050000
B0I395YOFT,丁丁喜点(庵埠店),餐饮服务;餐饮相关场所;餐饮相关,050000,116.681506,23.470203,广东省,潮州市,潮安区,城区安北路安盛花苑区间路2号铺丁丁喜点,,潮州,control,5,餐饮服务,050000
B0HRHZ37QR,LINLEE·手打柠檬茶(潮安彩塘店),餐饮服务;休闲餐饮场所;休闲餐饮场所,050400,116.651604,23.49963,广东省,潮州市,潮安区,彩宏花园12米路南侧一幢第5号铺,,潮州,control,5,餐饮服务,050000
B0GUDHSIVN,大台北(长德路店),餐饮服务;冷饮店;冷饮店|餐饮服务;快餐厅;快餐厅,050700|050300,116.602171,23.651386,广东省,潮州市,潮安区,长德中路城发花园G1幢102号,,潮州,control,5,餐饮服务,050000
B0FFF4UB95,栢佳溪鱼,餐饮服务;中餐厅;海鲜酒楼,050119,116.662757,23.642378,广东省,潮州市,湘桥区,安澄公路涸溪竞成路段,,潮州,control,5,餐饮服务,050000
B030000JGY,曾记鸭肉火锅(宜园A区店),餐饮服务;中餐厅;火锅店,050117,116.633601,23.669774,广东省,潮州市,湘桥区,绿榕北路161号,,潮州,control,5,餐饮服务,050000
B0FFG834VR,阿旭牛肉火锅,餐饮服务;中餐厅;中餐厅,050100,116.589716,23.621972,广东省,潮州市,潮安区,站前三路与枫凤路交叉口南120米,,潮州,control,5,餐饮服务,050000
B0FFF4UB95,栢佳溪鱼,餐饮服务;中餐厅;海鲜酒楼,050119,116.662757,23.642378,广东省,潮州市,湘桥区,安澄公路涸溪竞成路段,,潮州,control,5,餐饮服务,050000
B030000JGY,曾记鸭肉火锅(宜园A区店),餐饮服务;中餐厅;火锅店,050117,116.633601,23.669774,广东省,潮州市,湘桥区,绿榕北路161号,,潮州,control,5,餐饮服务,050000
B0FFG834VR,阿旭牛肉火锅,餐饮服务;中餐厅;中餐厅,050100,116.589716,23.621972,广东省,潮州市,潮安区,站前三路与枫凤路交叉口南120米,,潮州,control,5,餐饮服务,050000
