日期,淄博,济宁,哈尔滨,长春,开封,安阳,天水,宝鸡,景德镇,潮州
2023-04-18,1.9428336,1.9249488,2.186352,2.316438,1.6446888,1.3906404,0.4558356,0.844992,0.4217832,0.6893748
2023-04-19,1.959714,1.8290448,2.0707488,2.2107816,1.6453044,1.3732092,0.4447872,0.8212104,0.4069116,0.6555816
2023-04-20,1.9271196,1.8735624,2.0292768,2.2619088,1.6135848,1.376676,0.4582332,0.8375076,0.4546692,0.6942672
2023-04-21,2.2099392,2.0667636,2.3606964,2.4526152,1.7907804,1.4270904,0.4584924,0.8686116,0.495558,0.7922772
2023-04-22,2.4015852,1.960038,2.1447504,2.262978,1.8339372,1.3572036,0.4434264,0.8148924,0.4745952,0.8941752
2023-04-23,1.9072584,1.7383248,2.1352572,2.393874,1.4214852,1.143234,0.4386636,0.6974424,0.4337712,0.8125272
2023-04-24,1.9470456,1.8125532,2.3205852,2.4417936,1.4371668,1.191834,0.4551876,0.8098056,0.4098924,0.7509024
2023-04-25,2.052216,1.9014912,2.1913416,2.2496292,1.6446564,1.3569768,0.44631,0.864918,0.3983256,0.699192
2023-04-26,2.1768264,2.075058,2.2656348,2.3090508,1.6209072,1.4254056,0.4863888,0.87804,0.4245372,0.7131888
2023-04-27,2.3458896,2.3556096,2.477142,2.4751332,1.8630324,1.5663456,0.5472036,0.9955872,0.475308,0.7779564
2023-04-28,3.1222908,3.069576,3.404268,3.4392924,2.758536,2.2665096,0.859896,1.6400556,0.6602796,1.0021644
2023-04-29,5.5971972,5.8987116,5.9980824,5.1418476,5.6942028,4.8452904,1.8452124,4.6753848,1.4828832,2.0777472
2023-04-30,5.3645652,5.2244352,4.718736,4.4675388,5.6351376,4.0593312,1.5677388,3.8397564,1.4057064,2.451384
2023-05-01,5.5887084,4.9627728,5.1732108,5.4302724,5.3074764,3.5653284,1.3650768,3.1501548,1.4548572,2.4946056
2023-05-02,4.8223512,3.920076,5.2642548,6.4730988,3.7913832,2.668788,1.1603412,2.3189976,1.08783,1.5845868
